title,id,authors,abstract,journal,published
Visualization of Word Usage in Fluid Mechanics Abstracts,http://arxiv.org/abs/0910.2968v1,"['Eric Mockensturm', 'Kendra Sharp']","  The fluid dynamics video linked in the document shows how `keywords' from
abstracts contained in three journals--Physics of Fluids (A) from 1970,
Experiments in Fluids from 1983, and Journal of Fluid Mechanics from 1954--have
changed over time.
",None,2009-10-15 19:09:23+00:00
Kinematic Description of Ricci Solitons in Fluid Spacetimes,http://arxiv.org/abs/1709.02138v2,['Umber Sheikh'],"  We consider the kinematics of specific fluid spacetimes admitting timelike
congruences of Ricci Solitons. These fluids includes string cloud, string
fluid, perfect fluid, radially symmetric fluid, anisotropic fluid and
relativistic magneto-fluid. Results are obtained and important physical aspects
are discussed.
",None,2017-09-07 08:48:29+00:00
Symmetric hyperbolic Euler equations for relativistic perfect fluids,http://arxiv.org/abs/astro-ph/0502233v1,['Ronald A. Walton'],"  The Euler equations governing a relativistic perfect fluid are put into
symmetric hyperbolic form with dependent variables the fluid's specific entropy
plus a generalized velocity vector equal to the fluid's unit relativistic
velocity vector divided pointwise by the fluid's specific enthalpy.
",None,2005-02-11 05:00:00+00:00
"Metastability and nucleation in the dilute fluid phase of a simple model
  of globular proteins",http://arxiv.org/abs/cond-mat/9912199v1,['Richard P. Sear'],"  The dilute fluid phase of model globular proteins is studied. The model
possesses a fluid-fluid transition buried within the fluid-crystal coexistence
region, as do some globular proteins. If this fluid-fluid transition is not
buried deep inside the fluid-crystal coexistence region the crystalline phase
does not nucleate within the dilute fluid. We link this lack of nucleation of
the crystal to the interactions in our model and speculate that similar
interactions between globular proteins are responsible for the difficulty found
in crystallising many globular proteins.
",None,1999-12-11 13:38:32+00:00
"Supercooled fluid-fluid phase transition in three dimensions from a
  soft-core potential",http://arxiv.org/abs/cond-mat/0005184v2,"['G. Franzese', 'G. Malescio', 'A. Skibinsky', 'S. V. Buldyrev', 'H. E. Stanley']","  To study the possibility of a fluid-fluid phase transition, we analyze a
three-dimensional soft-core isotropic potential for a one-component system. We
utilize two independent numerical approaches, (i) integral equation in the
hypernetted-chain approximation and (ii) molecular dynamics simulations, and
find for both approaches a fluid-fluid phase transition as well as the
conventional gas-liquid critical point. We also study the possible existence of
a triple point in the supercooled fluid phase at which three phases---gas,
high-density fluid, and low-density fluid---coexist.
",None,2000-05-11 21:55:28+00:00
Fluid dynamics and jamming in a dilatant fluid,http://arxiv.org/abs/1010.5063v1,"['Hiizu Nakanishi', 'Namiko Mitarai']","  We present a phenomenological fluid dynamics model for a dilatant fluid, i.e.
a severe shear thickening fluid, by introducing a state variable. The
Navier-Stokes equation is coupled with the state variable field, which evolves
in response to the local shear stress as the fluid is sheared. The viscosity is
assumed to depend upon the state variable and to diverge at a certain value due
to jamming. We demonstrate that the coupling of the fluid dynamics with the
shear thickening leads to an oscillatory instability in the shear flow. The
model also shows a peculiar response of the fluid to a strong external impact.
",None,2010-10-25 09:18:51+00:00
"The cost of swimming in generalized Newtonian fluids: Experiments with
  C. elegans",http://arxiv.org/abs/1610.05811v1,"['David A. Gagnon', 'Paulo E. Arratia']","  Numerous natural processes are contingent on microorganisms' ability to swim
through fluids with non-Newtonian rheology. Here, we use the model organism
Caenorhabditis elegans and tracking methods to experimentally investigate the
dynamics of undulatory swimming in shear-thinning fluids. Theory and simulation
have proposed that the cost of swimming, or mechanical power, should be lower
in a shear-thinning fluid compared to a Newtonian fluid of the same zero-shear
viscosity. We aim to provide an experimental investigation into the cost of
swimming in a shear-thinning fluid from (i) an estimate of the mechanical power
of the swimmer and (ii) the viscous dissipation rate of the flow field, which
should yield equivalent results for a self-propelled low Reynolds number
swimmer. We find the cost of swimming in shear-thinning fluids is less than or
equal to the cost of swimming in Newtonian fluids of the same zero-shear
viscosity; furthermore, the cost of swimming in shear-thinning fluids scales
with a fluid's effective viscosity and can be predicted using fluid rheology
and simple swimming kinematics. Our results agree reasonably well with previous
theoretical predictions and provide a framework for understanding the cost of
swimming in generalized Newtonian fluids.
","J. Fluid Mech. (2016), vol. 800, pp. 753-765",2016-10-18 21:57:27+00:00
"On the classification of incompressible fluids and a mathematical
  analysis of the equations that govern their motion",http://arxiv.org/abs/1902.04853v2,"['Jan Blechta', 'Josef Málek', 'K. R. Rajagopal']","  In the first part of the paper we provide a new classification of
incompressible fluids characterized by a continuous monotone relation between
the velocity gradient and the Cauchy stress. The considered class includes
Euler fluids, Navier-Stokes fluids, classical power-law fluids as well as
stress power-law fluids, and their various generalizations including the fluids
that we refer to as activated fluids, namely fluids that behave as an Euler
fluid prior activation and behave as a viscous fluid once activation takes
place. We also present a classification concerning boundary conditions that are
viewed as the constitutive relations on the boundary. In the second part of the
paper, we develop a robust mathematical theory for activated Euler fluids
associated with different types of the boundary conditions ranging from no-slip
to freeslip and include Navier's slip as well as stick-slip. Both steady and
unsteady flows of such fluids in three-dimensional domains are analyzed.
",None,2019-02-13 10:52:24+00:00
Flows in inkjet-printed aqueous rivulets,http://arxiv.org/abs/1310.3393v1,"['Vadim Bromberg', 'Timothy J. Singler']","  We used optical microscopy to investigate flows inside water rivulets that
were inkjet-printed onto different surfaces and under different ambient
conditions. The acquired fluid dynamics videos were submitted to the 2013
Gallery of Fluid Motion.
",None,2013-10-12 15:33:21+00:00
Stirring faces: mixing in a quiescent fluid,http://arxiv.org/abs/1210.3747v1,"['Steven L. Brunton', 'Clarence W. Rowley']","  This fluid dynamics video depicts the mixing that occurs as a two-dimensional
flat plate plunges sinusoidally in a quiescent fluid. Finite-time Lyapunov
exponents reveal sets that are attracting or repelling. As the flow field
develops, strange faces emerge.
",None,2012-10-13 23:51:09+00:00
"Fast, large amplitude vibrations of compliant cylindrical shells
  carrying a fluid",http://arxiv.org/abs/1210.3861v1,"['Pawel Zimoch', 'Eliott Tixier', 'Julia Hsu', 'Amos Winter', 'Anette Hosoi']","  In this fluid dynamics video, we demonstrate the first three circumferential
modes of fast, large amplitude vibrations of compliant cylindrical shells
carrying a fluid.
",None,2012-10-15 00:19:14+00:00
Hopfion solutions in gravity and a null fluid/gravity conjecture,http://arxiv.org/abs/1812.08630v1,"['Daniel W. F. Alves', 'Horatiu Nastase']","  We conjecture an extension of the fluid/gravity correspondence to the null
pressureless fluid case via gravitational shockwave solutions, and use it to
propose an embedding of the fluid Hopfion in gravity. A nonlinear gravitational
""helicity"" is also proposed, analogous with the helicity of electromagnetism
and fluid dynamics.
",None,2018-12-20 15:18:35+00:00
Behavioural equivalences for fluid stochastic Petri nets,http://arxiv.org/abs/1706.02641v1,"['Igor V. Tarasyuk', 'Peter Buchholz']","  We propose fluid equivalences to compare and reduce behaviour of labeled
fluid stochastic Petri nets (LFSPNs) while preserving their discrete and
continuous properties. We define a linear-time relation of fluid trace
equivalence and its branching-time counterpart, fluid bisimulation equivalence.
Both fluid relations take into account the essential features of the LFSPNs
behaviour: functional activity, stochastic timing and fluid flow. We consider
the LFSPNs whose continuous markings have no influence to the discrete ones and
whose discrete part is continuous time stochastic Petri nets. The underlying
stochastic model for the discrete part of the LFSPNs is continuous time Markov
chains (CTMCs). The performance analysis of the continuous part of LFSPNs is
accomplished via the associated stochastic fluid models (SFMs). We show that
fluid trace equivalence preserves average potential fluid change volume for the
transition sequences of every certain length. We prove that fluid bisimulation
equivalence preserves the aggregated probability functions: stationary
probability mass for the underlying CTMC, as well as stationary fluid buffer
empty probability, fluid density and distribution for the associated SFM.
Hence, the equivalence guarantees identity of a number of discrete and
continuous performance measures. Fluid bisimulation equivalence is then used to
simplify the qualitative and quantitative analysis of LFSPNs via quotienting
the discrete reachability graph and underlying CTMC. To describe the quotient
associated SFM, the quotients of the probability functions are defined. We
characterize logically fluid trace and bisimulation equivalences with two novel
fluid modal logics $HML_{flt}$ and $HML_{flb}$, based on the Hennessy-Milner
Logic HML. The application example of a document preparation system
demonstrates the behavioural analysis via quotienting by fluid bisimulation
equivalence.
",None,2017-06-08 15:28:55+00:00
Equivalence of Fluid Models for $G_t/GI/N+GI$ Queues,http://arxiv.org/abs/1502.00346v2,"['Weining Kang', 'Guodong Pang']","  Four different fluid model formulations have been recently developed for
$G_t/GI/N+GI$ queues, including a two-parameter fluid model in Whitt (2006) by
tracking elapsed service and patience times of each customer, a measure-valued
fluid model in Kang and Ramanan (2010) and its extension in Zu{\~n}iga (2014)
by tracking elapsed service and patience times of each customer, and a
measure-valued fluid model in Zhang (2013) by tracking residual service and
patience times of each customer. We show that the two fluid models tracking
elapsed times (Whitt's and Kang and Ramanan's fluid models) are equivalent
formulations for the same $G_t/GI/N+GI$ queue, whereas Zu{\~n}iga's fluid model
and Zhang's fluid model are not entirely equivalent under general initial
conditions. We then identify necessary and sufficient conditions under which
Zu{\~n}iga's fluid model and Zhang's fluid model can be derived from each other
for the same system, in which certain measure-valued fluid processes tracking
residual service and patience times of each customer derived from Kang-Ramanan
and Zu{\~n}iga's fluid models play an important role.The equivalence properties
discovered provide important implications for the understanding of the recent
development for non-Markovian many-server queues.
",None,2015-02-02 03:20:06+00:00
Rayleigh-Taylor Instability in Viscoelastic Fluids,http://arxiv.org/abs/1308.0706v1,['Amey Joshi'],"  In this paper I analyze the onset of Rayleigh-Taylor instability between two
linear viscoelastic fluids assuming that the perturbations at the interface are
small. In the first half, the paper analyzes a stratified viscoelastic fluid in
which I prove that the perturbations rise or fall exponentially without
oscillating. The second half of the paper examines the effect of electric and
magnetic fields on viscoelastic fluids. I show that it is possible to choose
electric or magnetic field gradient such that the effective acceleration due to
gravity is zero. If a heavy Newtonian fluid rests on top of a lighter Newtonian
fluid such a choice of field gradient would have rendered the arrangement
stable. If the fluids are viscoelastic, I show that a similar arrangement is
unstable.
",None,2013-08-03 15:16:28+00:00
"A note on higher order perturbative corrections to squirming speed in
  weakly viscoelastic fluids",http://arxiv.org/abs/1903.08749v1,"['Charu Datt', 'Gwynn J. Elfring']","  Many microorganisms swim in fluids with complex rheological properties.
Although much is now understood about motion of these swimmers in Newtonian
fluids, the understanding is still developing in non-Newtonian fluids --- this
understanding is crucial for various biomimetic and biomedical applications.
Here we study a common model for microswimmers, the squirmer model, in two
common viscoelastic fluid models, the Giesekus fluid model and fluids of
differential type (grade three), at zero Reynolds number. Through this article
we address a recent commentary that discussed suitable values of parameters in
these model and pointed at higher order viscoelastic effects on the squirming
motion.
",None,2019-03-20 21:27:14+00:00
"Comment on ""Metallization of Fluid Nitrogen and the Mott Transition in
  Highly Compressed Low-Z Fluids""",http://arxiv.org/abs/cond-mat/0312637v1,['Marina Bastea'],"  A comment on ``Metallization of Fluid Nitrogen and the Mott Transition in
Highly Compressed Low-Z Fluids'' by Chau et al, Phys. Rev. Lett. 90, 245501
(2003).
","Phys. Rev. Lett. 92, 129601 (2004)",2003-12-24 22:34:07+00:00
Multiple Coexisting States of a Falling Viscous Thread,http://arxiv.org/abs/0910.3114v1,"['Mehdi Habibi', 'Yasser Rahmani', 'Daniel Bonn', 'Neil M. Ribe']","  This article describes a fluid dynamics video submission for the 2009 Gallery
of Fluid Motion, Division of Fluid Dynamics, American Physical Society.
",None,2009-10-16 09:44:46+00:00
The fundamental spherically symmetric fluid model,http://arxiv.org/abs/0912.2447v1,['B. V. Ivanov'],"  It is shown that an effective anisotropic spherically symmetric fluid model
with heat flow can absorb the addition to a perfect fluid of pressure
anisotropy, heat flow, bulk and shear viscosity, electric field and null fluid.
",None,2009-12-12 19:16:01+00:00
Steady linked vortices with chaotic streamlines,http://arxiv.org/abs/1010.2773v1,['Oscar Velasco Fuentes'],"  This paper contains background information for a fluid dynamics video
submitted to the Gallery of Fluid Motion to be held along with the 63rd Annual
Meeting of the American Physical Society's Division of Fluid Dynamics.
",None,2010-10-13 21:03:28+00:00
Merger of vorticity holes,http://arxiv.org/abs/1010.2797v1,['Oscar Velasco Fuentes'],"  This paper contains background information for a fluid dynamics video
submitted to the Gallery of Fluid Motion to be held along with the 63rd Annual
Meeting of the American Physical Society's Division of Fluid Dynamics.
",None,2010-10-14 00:45:12+00:00
"Thermal Convection: Patterns, Evolution and Stability by M. Lappa",http://arxiv.org/abs/1010.3926v1,['R. D. Simitev'],"  Review of the book ""Thermal Convection: Patterns, Evolution and Stability"" by
M. Lappa. Invited by the journal Geophysical and Astrophysical Fluid Dynamics.
","Geophys. Astrophys. Fluid Dyn., 105(1), pp. 109-111, 2011",2010-10-19 14:23:54+00:00
PKN problem for non-Newtonian fluid,http://arxiv.org/abs/1208.2358v1,['Alexander Linkov'],"  The paper presents analytical solution for hydraulic fracture driven by a
non-Newtonian fluid and propagating under plane strain conditions in cross
sections parallel to the fracture front. Conclusions are drawn on the influence
of the fluid properties on the fracture propagation.
",None,2012-08-11 15:10:44+00:00
Secondary jets from high viscosity complex fluid,http://arxiv.org/abs/1011.3227v1,"['K. Bergvall', 'W. Holm', 'G. Mårtensson']","  The behaviour of a high viscosity complex fluid upon impact with a dry solid
surface has been studied. Video-based studies show the appearance of secondary
jets for large impact velocities.
",None,2010-11-14 13:26:57+00:00
Lagrangian dynamics of incompressible thermofluids,http://arxiv.org/abs/0806.4823v1,"['Marco Tessarotto', 'Claudio Cremaschini', 'Piero Nicolini', 'Massimo Tessarotto']","  A key aspect of fluid dynamics is the correct definition of the \textit{%
phase-space} Lagrangian dynamics which characterizes arbitrary fluid elements
of an incompressible fluid. Apart being an unsolved theoretical problem of
fundamental importance, the issue is relevant to exhibit the connection between
fluid dynamics and the classical dynamical systems underlying incompressible
and non-isothermal fluid, typically founded either on: a) a
\textit{configuration-space} Lagrangian description of the dynamics of fluid
elements; b) a kinetic description of the molecular dynamics, based on a
discrete representation of the fluid. The goal of this paper is to show that
the exact Lagrangian dynamics can be established based on the inverse kinetic
theory (IKT) for incompressible fluids recently pointed out (Ellero \textit{et
al.}, 2004-2006, \cite{Ellero2004}). The result is reached by adopting an IKT
approach based on a \textit{restricted phase-space representation} of the
fluid, in which the configuration space coincides with the physical fluid
domain. The result appears of potential importance in applied fluid dynamics
and CFD.
",None,2008-06-30 08:11:49+00:00
Hydraulic Jump in a Nonwetting Film Deposited inside of a Capillary,http://arxiv.org/abs/1010.3314v1,"['Alexandru Herescu', 'Jeffrey S. Allen']","  Fluid dynamics video
",None,2010-10-16 03:55:32+00:00
Liquid ring,http://arxiv.org/abs/1110.3703v1,"['Seungho Kim', 'Ho-Young Kim']","  This article describes the fluid dynamics video for ""Liquid ring"" presented
at the 64th Annual Meeting of the APS Division of Fluid Dynamics in Baltimore,
Maryland, November 20-22, 2011.
",None,2011-10-13 17:37:13+00:00
Violation of Bell's inequality in fluid mechanics,http://arxiv.org/abs/1305.6822v1,"['Robert Brady', 'Ross Anderson']","  We show that a classical fluid mechanical system can violate Bell's
inequality because the fluid motion is correlated over large distances.
",None,2013-05-28 16:07:44+00:00
Spikes and matter inhomogeneities in massless scalar field models,http://arxiv.org/abs/1511.07095v2,"['Alan Coley', 'Woei Chet Lim']","  We shall discuss the general relativistic generation of spikes in a massless
scalar field or stiff perfect fluid model. We first investigate orthogonally
transitive (OT) $G_2$ stiff fluid spike models both heuristically and
numerically, and give a new exact OT $G_2$ stiff fluid spike solution. We then
present a new two-parameter family of non-OT $G_2$ stiff fluid spike solutions,
obtained by the generalization of non-OT $G_2$ vacuum spike solutions to the
stiff fluid case by applying Geroch's transformation on a Jacobs seed. The
dynamics of these new stiff fluid spike solutions is qualitatively different
from that of the vacuum spike solutions, in that the matter (stiff fluid) feels
the spike directly and the stiff fluid spike solution can end up with a
permanent spike. We then derive the evolution equations of non-OT $G_2$ stiff
fluid models, including a second perfect fluid, in full generality, and briefly
discuss some of their qualitative properties and their potential numerical
analysis. Finally, we discuss how a fluid, and especially a stiff fluid or
massless scalar field, affects the physics of the generation of spikes.
",Class. Quantum Grav. 33 (2016) 015009,2015-11-23 02:14:21+00:00
Thermocapillary-driven fluid flow within microchannels,http://arxiv.org/abs/1802.00475v1,"['Guillermo J Amador', 'Ahmet Fatih Tabak', 'Ziyu Ren', 'Yunus Alapan', 'Oncay Yasa', 'Metin Sitti']","  Surface tension gradients induce Marangoni flow, which may be exploited for
fluid transport. At the micrometer scale, these surface-driven flows can be
more significant than those driven by pressure. By introducing fluid-fluid
interfaces on the walls of microfluidic channels, we use surface tension
gradients to drive bulk fluid flows. The gradients are specifically induced
through thermal energy, exploiting the temperature dependence of a fluid-fluid
interface to generate thermocapillary flow. In this report, we provide the
design concept for a biocompatible, thermocapillary microchannel capable of
being powered by solar irradiation. Using temperature gradients on the order of
degrees Celsius per centimeter, we achieve fluid velocities on the order of
millimeters per second. Following experimental observations, fluid dynamic
models, and numerical simulation, we find that the fluid velocity is linearly
proportional to the provided temperature gradient, enabling full control of the
fluid flow within the microchannels.
",None,2018-02-01 20:16:06+00:00
